history:GTC_Multisite_Inwi/AHO_MCO T°_AMBIANTE

Timestamp,Trend Flags,Status,Value (°C)
15-Aug-25 1:15:01 PM WEST,{ },{unackedAlarm},21.1
15-Aug-25 1:30:01 PM WEST,{ },{unackedAlarm},20.4
15-Aug-25 1:45:01 PM WEST,{ },{unackedAlarm},20.7
15-Aug-25 2:00:01 PM WEST,{ },{unackedAlarm},21.3
15-Aug-25 2:15:01 PM WEST,{ },{unackedAlarm},21.4
15-Aug-25 2:30:00 PM WEST,{ },{unackedAlarm},21.2
15-Aug-25 2:45:01 PM WEST,{ },{unackedAlarm},21.6
15-Aug-25 3:00:02 PM WEST,{ },{unackedAlarm},22.0
15-Aug-25 3:15:01 PM WEST,{ },{unackedAlarm},21.8
15-Aug-25 3:30:01 PM WEST,{ },{unackedAlarm},21.3
15-Aug-25 3:45:00 PM WEST,{ },{unackedAlarm},21.7
15-Aug-25 4:00:00 PM WEST,{ },{unackedAlarm},22.0
15-Aug-25 4:15:00 PM WEST,{ },{unackedAlarm},22.1
15-Aug-25 4:30:01 PM WEST,{ },{unackedAlarm},21.4
15-Aug-25 4:45:01 PM WEST,{ },{unackedAlarm},22.0
15-Aug-25 5:00:01 PM WEST,{ },{unackedAlarm},22.4
15-Aug-25 5:15:01 PM WEST,{ },{unackedAlarm},22.2
15-Aug-25 5:30:01 PM WEST,{ },{unackedAlarm},21.6
15-Aug-25 5:45:01 PM WEST,{ },{unackedAlarm},21.8
15-Aug-25 6:00:01 PM WEST,{ },{unackedAlarm},22.4
15-Aug-25 6:15:01 PM WEST,{ },{unackedAlarm},22.5
15-Aug-25 6:30:01 PM WEST,{ },{unackedAlarm},22.6
15-Aug-25 6:45:01 PM WEST,{ },{unackedAlarm},21.8
15-Aug-25 7:00:00 PM WEST,{ },{unackedAlarm},22.2
15-Aug-25 7:15:01 PM WEST,{ },{unackedAlarm},22.7
15-Aug-25 7:30:02 PM WEST,{ },{unackedAlarm},22.8
15-Aug-25 7:45:01 PM WEST,{ },{unackedAlarm},22.1
15-Aug-25 8:00:01 PM WEST,{ },{unackedAlarm},22.2
15-Aug-25 8:15:01 PM WEST,{ },{unackedAlarm},22.8
15-Aug-25 8:30:01 PM WEST,{ },{unackedAlarm},22.4
15-Aug-25 8:45:01 PM WEST,{ },{unackedAlarm},22.1
15-Aug-25 9:00:01 PM WEST,{ },{unackedAlarm},22.5
15-Aug-25 9:15:01 PM WEST,{ },{unackedAlarm},22.6
15-Aug-25 9:30:01 PM WEST,{ },{unackedAlarm},21.9
15-Aug-25 9:45:00 PM WEST,{ },{unackedAlarm},21.6
15-Aug-25 10:00:01 PM WEST,{ },{unackedAlarm},22.0
15-Aug-25 10:15:01 PM WEST,{ },{unackedAlarm},22.4
15-Aug-25 10:30:01 PM WEST,{ },{unackedAlarm},22.6
15-Aug-25 10:45:01 PM WEST,{ },{unackedAlarm},21.9
15-Aug-25 11:00:01 PM WEST,{ },{unackedAlarm},22.0
15-Aug-25 11:15:01 PM WEST,{ },{unackedAlarm},22.4
15-Aug-25 11:30:01 PM WEST,{ },{unackedAlarm},22.6
15-Aug-25 11:45:01 PM WEST,{ },{unackedAlarm},22.0
16-Aug-25 12:00:01 AM WEST,{ },{unackedAlarm},21.7
16-Aug-25 12:15:01 AM WEST,{ },{unackedAlarm},22.0
16-Aug-25 12:30:01 AM WEST,{ },{unackedAlarm},22.4
16-Aug-25 12:45:01 AM WEST,{ },{unackedAlarm},21.5
16-Aug-25 1:00:01 AM WEST,{ },{unackedAlarm},21.9
16-Aug-25 1:15:01 AM WEST,{ },{unackedAlarm},22.1
16-Aug-25 1:30:01 AM WEST,{ },{unackedAlarm},21.6
16-Aug-25 1:45:01 AM WEST,{ },{unackedAlarm},20.8
16-Aug-25 2:00:01 AM WEST,{ },{unackedAlarm},21.2
16-Aug-25 2:15:01 AM WEST,{ },{unackedAlarm},21.7
16-Aug-25 2:30:01 AM WEST,{ },{unackedAlarm},21.7
16-Aug-25 2:45:01 AM WEST,{ },{unackedAlarm},21.0
16-Aug-25 3:00:01 AM WEST,{ },{unackedAlarm},21.2
16-Aug-25 3:15:01 AM WEST,{ },{unackedAlarm},21.8
16-Aug-25 3:30:01 AM WEST,{ },{unackedAlarm},21.8
16-Aug-25 3:45:01 AM WEST,{ },{unackedAlarm},21.0
16-Aug-25 4:00:01 AM WEST,{ },{unackedAlarm},20.7
16-Aug-25 4:15:01 AM WEST,{ },{unackedAlarm},21.3
16-Aug-25 4:30:01 AM WEST,{ },{unackedAlarm},21.7
16-Aug-25 4:45:01 AM WEST,{ },{unackedAlarm},20.8
16-Aug-25 5:00:01 AM WEST,{ },{unackedAlarm},21.3
16-Aug-25 5:15:01 AM WEST,{ },{unackedAlarm},21.5
16-Aug-25 5:30:01 AM WEST,{ },{unackedAlarm},20.8
16-Aug-25 5:45:01 AM WEST,{ },{unackedAlarm},20.6
16-Aug-25 6:00:01 AM WEST,{ },{unackedAlarm},21.2
16-Aug-25 6:15:01 AM WEST,{ },{unackedAlarm},21.0
16-Aug-25 6:30:01 AM WEST,{ },{unackedAlarm},20.0
16-Aug-25 6:45:01 AM WEST,{ },{unackedAlarm},21.0
16-Aug-25 7:00:01 AM WEST,{ },{unackedAlarm},20.8
16-Aug-25 7:15:01 AM WEST,{ },{unackedAlarm},20.1
16-Aug-25 7:30:01 AM WEST,{ },{unackedAlarm},21.2
16-Aug-25 7:45:01 AM WEST,{ },{unackedAlarm},20.5
16-Aug-25 8:00:01 AM WEST,{ },{unackedAlarm},20.3
16-Aug-25 8:15:01 AM WEST,{ },{unackedAlarm},21.2
16-Aug-25 8:30:01 AM WEST,{ },{unackedAlarm},20.7
16-Aug-25 8:45:01 AM WEST,{ },{unackedAlarm},21.4
16-Aug-25 9:00:01 AM WEST,{ },{unackedAlarm},20.5
16-Aug-25 9:15:01 AM WEST,{ },{unackedAlarm},20.6
16-Aug-25 9:30:01 AM WEST,{ },{unackedAlarm},21.4
16-Aug-25 9:45:01 AM WEST,{ },{unackedAlarm},20.5
16-Aug-25 10:00:01 AM WEST,{ },{unackedAlarm},20.5
16-Aug-25 10:15:01 AM WEST,{ },{unackedAlarm},21.5
16-Aug-25 10:30:01 AM WEST,{ },{unackedAlarm},20.5
16-Aug-25 10:45:01 AM WEST,{ },{unackedAlarm},20.9
16-Aug-25 11:00:01 AM WEST,{ },{unackedAlarm},21.3
16-Aug-25 11:15:01 AM WEST,{ },{unackedAlarm},21.0
16-Aug-25 11:30:01 AM WEST,{ },{unackedAlarm},20.3
16-Aug-25 11:45:01 AM WEST,{ },{unackedAlarm},20.5
16-Aug-25 12:00:01 PM WEST,{ },{unackedAlarm},21.2
16-Aug-25 12:15:01 PM WEST,{ },{unackedAlarm},21.4
16-Aug-25 12:30:01 PM WEST,{ },{unackedAlarm},20.5
16-Aug-25 12:45:00 PM WEST,{ },{unackedAlarm},21.0
16-Aug-25 1:00:01 PM WEST,{ },{unackedAlarm},21.5
16-Aug-25 1:15:00 PM WEST,{ },{unackedAlarm},21.4
16-Aug-25 1:30:00 PM WEST,{ },{unackedAlarm},20.6
16-Aug-25 1:45:01 PM WEST,{ },{unackedAlarm},20.9
16-Aug-25 2:00:00 PM WEST,{ },{unackedAlarm},21.5
16-Aug-25 2:15:01 PM WEST,{ },{unackedAlarm},21.6
16-Aug-25 2:30:00 PM WEST,{ },{unackedAlarm},21.1
16-Aug-25 2:45:01 PM WEST,{ },{unackedAlarm},21.5
16-Aug-25 3:00:00 PM WEST,{ },{unackedAlarm},22.1
16-Aug-25 3:15:00 PM WEST,{ },{unackedAlarm},21.6
16-Aug-25 3:30:00 PM WEST,{ },{unackedAlarm},21.1
16-Aug-25 3:45:01 PM WEST,{ },{unackedAlarm},21.6
16-Aug-25 4:00:01 PM WEST,{ },{unackedAlarm},22.1
16-Aug-25 4:15:01 PM WEST,{ },{unackedAlarm},22.1
16-Aug-25 4:30:01 PM WEST,{ },{unackedAlarm},21.4
16-Aug-25 4:45:01 PM WEST,{ },{unackedAlarm},22.0
16-Aug-25 5:00:01 PM WEST,{ },{unackedAlarm},22.4
16-Aug-25 5:15:00 PM WEST,{ },{unackedAlarm},22.1
16-Aug-25 5:30:01 PM WEST,{ },{unackedAlarm},21.4
16-Aug-25 5:45:01 PM WEST,{ },{unackedAlarm},21.8
16-Aug-25 6:00:01 PM WEST,{ },{unackedAlarm},22.3
16-Aug-25 6:15:01 PM WEST,{ },{unackedAlarm},22.4
16-Aug-25 6:30:01 PM WEST,{ },{unackedAlarm},22.5
16-Aug-25 6:45:01 PM WEST,{ },{unackedAlarm},21.9
16-Aug-25 7:00:01 PM WEST,{ },{unackedAlarm},22.3
16-Aug-25 7:15:01 PM WEST,{ },{unackedAlarm},22.7
16-Aug-25 7:30:00 PM WEST,{ },{unackedAlarm},22.8
16-Aug-25 7:45:01 PM WEST,{ },{unackedAlarm},22.3
16-Aug-25 8:00:01 PM WEST,{ },{unackedAlarm},22.3
16-Aug-25 8:15:01 PM WEST,{ },{unackedAlarm},22.9
16-Aug-25 8:30:01 PM WEST,{ },{unackedAlarm},22.8
16-Aug-25 8:45:01 PM WEST,{ },{unackedAlarm},22.1
16-Aug-25 9:00:01 PM WEST,{ },{unackedAlarm},22.4
16-Aug-25 9:15:01 PM WEST,{ },{unackedAlarm},22.7
16-Aug-25 9:30:01 PM WEST,{ },{unackedAlarm},22.1
16-Aug-25 9:45:02 PM WEST,{ },{unackedAlarm},21.5
16-Aug-25 10:00:01 PM WEST,{ },{unackedAlarm},22.0
16-Aug-25 10:15:01 PM WEST,{ },{unackedAlarm},22.4
16-Aug-25 10:30:01 PM WEST,{ },{unackedAlarm},22.7
16-Aug-25 10:45:01 PM WEST,{ },{unackedAlarm},21.9
16-Aug-25 11:00:02 PM WEST,{ },{unackedAlarm},22.2
16-Aug-25 11:15:01 PM WEST,{ },{unackedAlarm},22.5
16-Aug-25 11:30:01 PM WEST,{ },{unackedAlarm},22.7
16-Aug-25 11:45:01 PM WEST,{ },{unackedAlarm},21.9
17-Aug-25 12:00:01 AM WEST,{ },{unackedAlarm},21.7
17-Aug-25 12:15:01 AM WEST,{ },{unackedAlarm},22.0
17-Aug-25 12:30:01 AM WEST,{ },{unackedAlarm},22.5
17-Aug-25 12:45:01 AM WEST,{ },{unackedAlarm},21.5
17-Aug-25 1:00:01 AM WEST,{ },{unackedAlarm},21.9
17-Aug-25 1:15:02 AM WEST,{ },{unackedAlarm},22.1
17-Aug-25 1:30:01 AM WEST,{ },{unackedAlarm},21.6
17-Aug-25 1:45:01 AM WEST,{ },{unackedAlarm},20.8
17-Aug-25 2:00:01 AM WEST,{ },{unackedAlarm},21.2
17-Aug-25 2:15:01 AM WEST,{ },{unackedAlarm},21.6
17-Aug-25 2:30:00 AM WEST,{ },{unackedAlarm},21.7
17-Aug-25 2:45:01 AM WEST,{ },{unackedAlarm},20.8
17-Aug-25 3:00:00 AM WEST,{ },{unackedAlarm},21.0
17-Aug-25 3:15:01 AM WEST,{ },{unackedAlarm},21.5
17-Aug-25 3:30:01 AM WEST,{ },{unackedAlarm},21.5
17-Aug-25 3:45:01 AM WEST,{ },{unackedAlarm},20.6
17-Aug-25 4:00:01 AM WEST,{ },{unackedAlarm},20.5
17-Aug-25 4:15:01 AM WEST,{ },{unackedAlarm},21.2
17-Aug-25 4:30:01 AM WEST,{ },{unackedAlarm},21.3
17-Aug-25 4:45:01 AM WEST,{ },{unackedAlarm},20.7
17-Aug-25 5:00:01 AM WEST,{ },{unackedAlarm},21.4
17-Aug-25 5:15:02 AM WEST,{ },{unackedAlarm},20.9
17-Aug-25 5:30:01 AM WEST,{ },{unackedAlarm},20.5
17-Aug-25 5:45:01 AM WEST,{ },{unackedAlarm},21.5
17-Aug-25 6:00:01 AM WEST,{ },{unackedAlarm},20.5
17-Aug-25 6:15:01 AM WEST,{ },{unackedAlarm},21.4
17-Aug-25 6:30:00 AM WEST,{ },{unackedAlarm},20.1
17-Aug-25 6:45:00 AM WEST,{ },{unackedAlarm},20.7
17-Aug-25 7:00:01 AM WEST,{ },{unackedAlarm},21.0
17-Aug-25 7:15:01 AM WEST,{ },{unackedAlarm},20.0
17-Aug-25 7:30:00 AM WEST,{ },{unackedAlarm},21.0
17-Aug-25 7:45:01 AM WEST,{ },{unackedAlarm},20.8
17-Aug-25 8:00:01 AM WEST,{ },{unackedAlarm},20.0
17-Aug-25 8:15:01 AM WEST,{ },{unackedAlarm},21.3
17-Aug-25 8:30:01 AM WEST,{ },{unackedAlarm},20.7
17-Aug-25 8:45:01 AM WEST,{ },{unackedAlarm},21.4
17-Aug-25 9:00:01 AM WEST,{ },{unackedAlarm},20.4
17-Aug-25 9:15:01 AM WEST,{ },{unackedAlarm},20.7
17-Aug-25 9:30:01 AM WEST,{ },{unackedAlarm},21.4
17-Aug-25 9:45:01 AM WEST,{ },{unackedAlarm},20.2
17-Aug-25 10:00:01 AM WEST,{ },{unackedAlarm},20.9
17-Aug-25 10:15:01 AM WEST,{ },{unackedAlarm},21.3
17-Aug-25 10:30:00 AM WEST,{ },{unackedAlarm},20.4
17-Aug-25 10:45:01 AM WEST,{ },{unackedAlarm},20.9
17-Aug-25 11:00:01 AM WEST,{ },{unackedAlarm},21.4
17-Aug-25 11:15:01 AM WEST,{ },{unackedAlarm},20.8
17-Aug-25 11:30:01 AM WEST,{ },{unackedAlarm},20.4
17-Aug-25 11:45:01 AM WEST,{ },{unackedAlarm},20.8
17-Aug-25 12:00:01 PM WEST,{ },{unackedAlarm},21.4
17-Aug-25 12:15:01 PM WEST,{ },{unackedAlarm},21.0
17-Aug-25 12:30:01 PM WEST,{ },{unackedAlarm},20.3
17-Aug-25 12:45:01 PM WEST,{ },{unackedAlarm},20.8
17-Aug-25 1:00:01 PM WEST,{ },{unackedAlarm},21.4
17-Aug-25 1:15:01 PM WEST,{ },{unackedAlarm},21.1
17-Aug-25 1:30:00 PM WEST,{ },{unackedAlarm},20.4
17-Aug-25 1:45:01 PM WEST,{ },{unackedAlarm},20.9
17-Aug-25 2:00:01 PM WEST,{ },{unackedAlarm},21.5
17-Aug-25 2:15:01 PM WEST,{ },{unackedAlarm},21.4
17-Aug-25 2:30:00 PM WEST,{ },{unackedAlarm},21.1
17-Aug-25 2:45:01 PM WEST,{ },{unackedAlarm},21.6
17-Aug-25 3:00:01 PM WEST,{ },{unackedAlarm},21.9
17-Aug-25 3:15:01 PM WEST,{ },{unackedAlarm},21.7
17-Aug-25 3:30:01 PM WEST,{ },{unackedAlarm},21.2
17-Aug-25 3:45:01 PM WEST,{ },{unackedAlarm},21.6
17-Aug-25 4:00:01 PM WEST,{ },{unackedAlarm},22.2
17-Aug-25 4:15:01 PM WEST,{ },{unackedAlarm},22.2
17-Aug-25 4:30:01 PM WEST,{ },{unackedAlarm},21.5
17-Aug-25 4:45:01 PM WEST,{ },{unackedAlarm},22.0
17-Aug-25 5:00:01 PM WEST,{ },{unackedAlarm},22.4
17-Aug-25 5:15:01 PM WEST,{ },{unackedAlarm},22.1
17-Aug-25 5:30:01 PM WEST,{ },{unackedAlarm},21.6
17-Aug-25 5:45:01 PM WEST,{ },{unackedAlarm},22.0
17-Aug-25 6:00:01 PM WEST,{ },{unackedAlarm},22.5
17-Aug-25 6:15:01 PM WEST,{ },{unackedAlarm},22.6
17-Aug-25 6:30:01 PM WEST,{ },{unackedAlarm},22.7
17-Aug-25 6:45:02 PM WEST,{ },{unackedAlarm},22.2
17-Aug-25 7:00:01 PM WEST,{ },{unackedAlarm},22.7
17-Aug-25 7:15:01 PM WEST,{ },{unackedAlarm},23.0
17-Aug-25 7:30:01 PM WEST,{ },{unackedAlarm},23.1
17-Aug-25 7:45:01 PM WEST,{ },{unackedAlarm},22.4
17-Aug-25 8:00:01 PM WEST,{ },{unackedAlarm},22.5
17-Aug-25 8:15:01 PM WEST,{ },{unackedAlarm},23.0
17-Aug-25 8:30:01 PM WEST,{ },{unackedAlarm},22.4
17-Aug-25 8:45:01 PM WEST,{ },{unackedAlarm},22.5
17-Aug-25 9:00:01 PM WEST,{ },{unackedAlarm},22.9
17-Aug-25 9:15:01 PM WEST,{ },{unackedAlarm},22.7
17-Aug-25 9:30:01 PM WEST,{ },{unackedAlarm},22.0
17-Aug-25 9:45:00 PM WEST,{ },{unackedAlarm},22.0
17-Aug-25 10:00:01 PM WEST,{ },{unackedAlarm},22.5
17-Aug-25 10:15:01 PM WEST,{ },{unackedAlarm},22.7
17-Aug-25 10:30:01 PM WEST,{ },{unackedAlarm},22.7
17-Aug-25 10:45:01 PM WEST,{ },{unackedAlarm},22.0
17-Aug-25 11:00:01 PM WEST,{ },{unackedAlarm},22.2
17-Aug-25 11:15:01 PM WEST,{ },{unackedAlarm},22.7
17-Aug-25 11:30:01 PM WEST,{ },{unackedAlarm},23.0
17-Aug-25 11:45:01 PM WEST,{ },{unackedAlarm},22.4
18-Aug-25 12:00:02 AM WEST,{ },{unackedAlarm},22.1
18-Aug-25 12:15:01 AM WEST,{ },{unackedAlarm},22.5
18-Aug-25 12:30:01 AM WEST,{ },{unackedAlarm},22.4
18-Aug-25 12:45:01 AM WEST,{ },{unackedAlarm},22.2
18-Aug-25 1:00:01 AM WEST,{ },{unackedAlarm},22.3
18-Aug-25 1:15:01 AM WEST,{ },{unackedAlarm},22.4
18-Aug-25 1:30:01 AM WEST,{ },{unackedAlarm},21.6
18-Aug-25 1:45:01 AM WEST,{ },{unackedAlarm},21.4
18-Aug-25 2:00:01 AM WEST,{ },{unackedAlarm},22.0
18-Aug-25 2:15:01 AM WEST,{ },{unackedAlarm},22.3
18-Aug-25 2:30:01 AM WEST,{ },{unackedAlarm},22.1
18-Aug-25 2:45:01 AM WEST,{ },{unackedAlarm},21.2
18-Aug-25 3:00:01 AM WEST,{ },{unackedAlarm},21.5
18-Aug-25 3:15:01 AM WEST,{ },{unackedAlarm},21.9
18-Aug-25 3:30:01 AM WEST,{ },{unackedAlarm},21.8
18-Aug-25 3:45:01 AM WEST,{ },{unackedAlarm},20.9
18-Aug-25 4:00:01 AM WEST,{ },{unackedAlarm},20.7
18-Aug-25 4:15:01 AM WEST,{ },{unackedAlarm},21.2
18-Aug-25 4:30:00 AM WEST,{ },{unackedAlarm},21.5
18-Aug-25 4:45:01 AM WEST,{ },{unackedAlarm},20.7
18-Aug-25 5:00:01 AM WEST,{ },{unackedAlarm},21.1
18-Aug-25 5:15:00 AM WEST,{ },{unackedAlarm},21.4
18-Aug-25 5:30:01 AM WEST,{ },{unackedAlarm},20.6
18-Aug-25 5:45:01 AM WEST,{ },{unackedAlarm},20.6
18-Aug-25 6:00:01 AM WEST,{ },{unackedAlarm},21.5
18-Aug-25 6:15:01 AM WEST,{ },{unackedAlarm},21.0
18-Aug-25 6:30:00 AM WEST,{ },{unackedAlarm},20.1
18-Aug-25 6:45:01 AM WEST,{ },{unackedAlarm},21.1
18-Aug-25 7:00:01 AM WEST,{ },{unackedAlarm},21.0
18-Aug-25 7:15:01 AM WEST,{ },{unackedAlarm},20.2
18-Aug-25 7:30:01 AM WEST,{ },{unackedAlarm},21.2
18-Aug-25 7:45:01 AM WEST,{ },{unackedAlarm},21.0
18-Aug-25 8:00:01 AM WEST,{ },{unackedAlarm},20.1
18-Aug-25 8:15:02 AM WEST,{ },{unackedAlarm},21.0
18-Aug-25 8:30:01 AM WEST,{ },{unackedAlarm},20.5
18-Aug-25 8:45:00 AM WEST,{ },{unackedAlarm},21.4
18-Aug-25 9:00:01 AM WEST,{ },{unackedAlarm},20.7
18-Aug-25 9:15:01 AM WEST,{ },{unackedAlarm},20.4
18-Aug-25 9:30:11 AM WEST,{ },{unackedAlarm},21.2
18-Aug-25 9:45:01 AM WEST,{ },{unackedAlarm},21.1
18-Aug-25 10:00:01 AM WEST,{ },{unackedAlarm},20.2
18-Aug-25 10:15:01 AM WEST,{ },{unackedAlarm},21.4
18-Aug-25 10:30:01 AM WEST,{ },{unackedAlarm},20.7
18-Aug-25 10:45:03 AM WEST,{ },{unackedAlarm},21.1
18-Aug-25 11:00:01 AM WEST,{ },{unackedAlarm},21.6
18-Aug-25 11:15:01 AM WEST,{ },{unackedAlarm},21.5
18-Aug-25 11:30:02 AM WEST,{ },{unackedAlarm},20.9
18-Aug-25 11:45:02 AM WEST,{ },{unackedAlarm},21.0
18-Aug-25 12:00:01 PM WEST,{ },{unackedAlarm},21.6
18-Aug-25 12:15:01 PM WEST,{ },{unackedAlarm},22.0
18-Aug-25 12:30:01 PM WEST,{ },{unackedAlarm},21.2
18-Aug-25 12:45:02 PM WEST,{ },{unackedAlarm},21.6
18-Aug-25 1:00:01 PM WEST,{ },{unackedAlarm},22.0
18-Aug-25 1:15:02 PM WEST,{ },{unackedAlarm},21.9
18-Aug-25 1:30:01 PM WEST,{ },{unackedAlarm},21.3
18-Aug-25 1:45:00 PM WEST,{ },{unackedAlarm},21.6
18-Aug-25 2:00:01 PM WEST,{ },{unackedAlarm},22.2
18-Aug-25 2:15:01 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 2:30:01 PM WEST,{ },{unackedAlarm},22.1
18-Aug-25 2:45:02 PM WEST,{ },{unackedAlarm},22.7
18-Aug-25 3:00:02 PM WEST,{ },{unackedAlarm},23.1
18-Aug-25 3:15:01 PM WEST,{ },{unackedAlarm},22.6
18-Aug-25 3:30:00 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 3:45:01 PM WEST,{ },{unackedAlarm},22.7
18-Aug-25 4:00:01 PM WEST,{ },{unackedAlarm},23.2
18-Aug-25 4:15:01 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 4:30:01 PM WEST,{ },{unackedAlarm},21.6
18-Aug-25 4:45:00 PM WEST,{ },{unackedAlarm},22.6
18-Aug-25 5:00:01 PM WEST,{ },{unackedAlarm},22.0
18-Aug-25 5:15:01 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 5:30:02 PM WEST,{ },{unackedAlarm},22.9
18-Aug-25 5:45:02 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 6:00:02 PM WEST,{ },{unackedAlarm},22.0
18-Aug-25 6:15:00 PM WEST,{ },{unackedAlarm},22.6
18-Aug-25 6:30:01 PM WEST,{ },{unackedAlarm},23.2
18-Aug-25 6:45:01 PM WEST,{ },{unackedAlarm},22.6
18-Aug-25 7:00:01 PM WEST,{ },{unackedAlarm},22.8
18-Aug-25 7:15:01 PM WEST,{ },{unackedAlarm},23.4
18-Aug-25 7:30:01 PM WEST,{ },{unackedAlarm},23.4
18-Aug-25 7:45:01 PM WEST,{ },{unackedAlarm},22.9
18-Aug-25 8:00:01 PM WEST,{ },{unackedAlarm},22.9
18-Aug-25 8:15:00 PM WEST,{ },{unackedAlarm},23.4
18-Aug-25 8:30:01 PM WEST,{ },{unackedAlarm},22.6
18-Aug-25 8:45:01 PM WEST,{ },{unackedAlarm},23.0
18-Aug-25 9:00:01 PM WEST,{ },{unackedAlarm},22.7
18-Aug-25 9:15:01 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 9:30:01 PM WEST,{ },{unackedAlarm},22.8
18-Aug-25 9:45:01 PM WEST,{ },{unackedAlarm},23.1
18-Aug-25 10:00:01 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 10:15:01 PM WEST,{ },{unackedAlarm},22.3
18-Aug-25 10:30:01 PM WEST,{ },{unackedAlarm},23.6
18-Aug-25 10:45:01 PM WEST,{ },{unackedAlarm},22.8
18-Aug-25 11:00:01 PM WEST,{ },{unackedAlarm},23.0
18-Aug-25 11:15:01 PM WEST,{ },{unackedAlarm},23.4
18-Aug-25 11:30:01 PM WEST,{ },{unackedAlarm},23.5
18-Aug-25 11:45:01 PM WEST,{ },{unackedAlarm},22.8
19-Aug-25 12:00:01 AM WEST,{ },{unackedAlarm},22.7
19-Aug-25 12:15:01 AM WEST,{ },{unackedAlarm},23.1
19-Aug-25 12:30:01 AM WEST,{ },{unackedAlarm},22.4
19-Aug-25 12:45:01 AM WEST,{ },{unackedAlarm},23.0
19-Aug-25 1:00:02 AM WEST,{ },{unackedAlarm},22.1
19-Aug-25 1:15:02 AM WEST,{ },{unackedAlarm},22.3
19-Aug-25 1:30:01 AM WEST,{ },{unackedAlarm},22.9
19-Aug-25 1:45:01 AM WEST,{ },{unackedAlarm},22.5
19-Aug-25 2:00:03 AM WEST,{ },{unackedAlarm},21.8
19-Aug-25 2:15:03 AM WEST,{ },{unackedAlarm},22.3
19-Aug-25 2:30:02 AM WEST,{ },{unackedAlarm},23.1
19-Aug-25 2:45:02 AM WEST,{ },{unackedAlarm},22.1
19-Aug-25 3:00:01 AM WEST,{ },{unackedAlarm},22.3
19-Aug-25 3:15:01 AM WEST,{ },{unackedAlarm},22.9
19-Aug-25 3:30:00 AM WEST,{ },{unackedAlarm},22.8
19-Aug-25 3:45:01 AM WEST,{ },{unackedAlarm},21.9
19-Aug-25 4:00:02 AM WEST,{ },{unackedAlarm},21.8
19-Aug-25 4:15:01 AM WEST,{ },{unackedAlarm},22.4
19-Aug-25 4:30:01 AM WEST,{ },{unackedAlarm},22.0
19-Aug-25 4:45:02 AM WEST,{ },{unackedAlarm},22.0
19-Aug-25 5:00:01 AM WEST,{ },{unackedAlarm},22.6
19-Aug-25 5:15:01 AM WEST,{ },{unackedAlarm},22.2
19-Aug-25 5:30:02 AM WEST,{ },{unackedAlarm},21.4
19-Aug-25 5:45:02 AM WEST,{ },{unackedAlarm},21.6
19-Aug-25 6:00:00 AM WEST,{ },{unackedAlarm},22.2
19-Aug-25 6:15:01 AM WEST,{ },{unackedAlarm},22.3
19-Aug-25 6:30:01 AM WEST,{ },{unackedAlarm},21.2
19-Aug-25 6:45:01 AM WEST,{ },{unackedAlarm},21.4
19-Aug-25 7:00:01 AM WEST,{ },{unackedAlarm},22.1
19-Aug-25 7:15:01 AM WEST,{ },{unackedAlarm},22.1
19-Aug-25 7:30:01 AM WEST,{ },{unackedAlarm},21.4
19-Aug-25 7:45:01 AM WEST,{ },{unackedAlarm},21.2
19-Aug-25 8:00:02 AM WEST,{ },{unackedAlarm},21.8
19-Aug-25 8:15:01 AM WEST,{ },{unackedAlarm},22.0
19-Aug-25 8:30:01 AM WEST,{ },{unackedAlarm},21.9
19-Aug-25 8:45:01 AM WEST,{ },{unackedAlarm},22.3
19-Aug-25 9:00:01 AM WEST,{ },{unackedAlarm},22.2
19-Aug-25 9:15:01 AM WEST,{ },{unackedAlarm},21.5
19-Aug-25 9:30:01 AM WEST,{ },{unackedAlarm},21.6
19-Aug-25 9:45:01 AM WEST,{ },{unackedAlarm},22.1
19-Aug-25 10:00:01 AM WEST,{ },{unackedAlarm},22.4
19-Aug-25 10:15:01 AM WEST,{ },{unackedAlarm},22.2
19-Aug-25 10:30:01 AM WEST,{ },{unackedAlarm},21.5
19-Aug-25 10:45:01 AM WEST,{ },{unackedAlarm},22.0
19-Aug-25 11:00:01 AM WEST,{ },{unackedAlarm},22.4
19-Aug-25 11:15:01 AM WEST,{ },{unackedAlarm},22.3
19-Aug-25 11:30:01 AM WEST,{ },{unackedAlarm},21.6
19-Aug-25 11:45:01 AM WEST,{ },{unackedAlarm},21.8
19-Aug-25 12:00:01 PM WEST,{ },{unackedAlarm},22.3
19-Aug-25 12:15:01 PM WEST,{ },{unackedAlarm},22.0
19-Aug-25 12:30:01 PM WEST,{ },{unackedAlarm},22.1
19-Aug-25 12:45:07 PM WEST,{ },{unackedAlarm},22.6
19-Aug-25 1:00:01 PM WEST,{ },{unackedAlarm},22.0
19-Aug-25 1:15:01 PM WEST,{ },{unackedAlarm},21.7
19-Aug-25 1:30:02 PM WEST,{ },{unackedAlarm},22.4
19-Aug-25 1:45:01 PM WEST,{ },{unackedAlarm},22.4
